Ensembl,Entrez_Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000120129,1843,3409.0293753095643,2.9478100345457756,0.12143771899466356,24.274253987554836,3.6673200591550384e-130,2.2038148675482344e-126
ENSG00000120149,4488,161.9403370572664,-1.023029719079686,0.1883780348871441,-5.430727206027898,5.6124872521910435e-8,9.618053249287084e-7
ENSG00000120162,79817,60.67079706515366,2.7110155491270826,0.3113744727787112,8.706608235845195,3.131029683175917e-18,1.7421667632189948e-16
ENSG00000120217,29126,116.78615974262038,-0.7839847706208728,0.2323739482795283,-3.373806644098496,7.413642265574362e-4,0.005182363038533331
ENSG00000120254,25902,1421.3957617204587,-0.618647711248976,0.1514074905216421,-4.085978237388109,4.389149246898521e-5,4.2404921019874883e-4
ENSG00000120278,57480,483.5748838729629,-0.48943496551441357,0.11517311325801068,-4.249559221499743,2.141915767317242e-5,2.2385192726489994e-4
ENSG00000120318,64411,301.2620423431393,-0.5626925051501696,0.13492622745552763,-4.170371585729216,3.0410337699447516e-5,3.0390109093439015e-4
ENSG00000120370,92344,327.361631357868,-0.4856853000456686,0.12865735672040765,-3.7750293681311824,1.5998881363054408e-4,0.0013409011306980234
ENSG00000120526,84955,244.13987588465935,0.6255196498189994,0.13911678950931197,4.496363465727689,6.912553232485507e-6,8.076442623152866e-5
ENSG00000120549,56243,51.482215929994695,-1.1155208016154754,0.31462009731827634,-3.5456120289956905,3.917024472756463e-4,0.002955886027411198
ENSG00000120690,1997,1383.5892265675773,0.9159187852055599,0.09501108922263561,9.640125091707187,5.412198279878914e-22,4.3364938039847585e-20
ENSG00000120705,2107,2913.4337146566922,0.2915181681253364,0.08425028159064826,3.4601447333049,5.398851194384738e-4,0.003913570138012386
ENSG00000120708,7045,11232.47511771951,-0.44679294345461856,0.11480772743103221,-3.8916626385015585,9.95596167006823e-5,8.802652132809713e-4
ENSG00000120800,27340,821.1688180970801,0.5285224144105637,0.14096625224933254,3.749283292824905,1.7734066586880628e-4,0.001467905199395243
ENSG00000120820,83468,968.2246890180775,-0.3759214477670788,0.09498384770334573,-3.9577407828450952,7.566200221840076e-5,6.899517329253055e-4
ENSG00000120837,4801,1841.388113144114,1.0356371642481805,0.10013319750586641,10.342595563149839,4.521230419388305e-25,4.6050136723577606e-23
ENSG00000120889,8795,2445.9492002542834,-0.3217043602027767,0.09611116198179209,-3.3472112246829604,8.162898622127362e-4,0.005631919308989715
ENSG00000120896,10174,3047.902683736355,0.424416465434118,0.09169994282696109,4.628317666838648,3.686482342271755e-6,4.5272413941740595e-5
ENSG00000120899,2185,391.3971336276626,0.9887372191431091,0.1840550276162669,5.371965286406139,7.788310447124672e-8,1.2976678441845063e-6
ENSG00000120942,29914,285.16928210832486,0.7011659403992444,0.15125687734770454,4.635597089495813,3.5590862149440624e-6,4.388728199932391e-5
ENSG00000121068,6909,3145.441674939664,0.26843197900390336,0.08031193304620719,3.342367302371641,8.306706202407687e-4,0.005711414928184813
ENSG00000121210,23240,435.3763973394649,-0.6128409508916991,0.11933190916984525,-5.135599984572792,2.812453049917524e-7,4.27151672990001e-6
ENSG00000121361,3764,169.21241711851886,0.7571276078517003,0.1959822268819432,3.863246274407234,1.1189010245345753e-4,9.774263879060222e-4
ENSG00000121417,10520,192.97692626548934,-0.5399760297646037,0.16465475931880127,-3.27944380106932,0.0010401192416680694,0.006919710182795069
ENSG00000121621,81930,31.79093959988166,-1.613997406769131,0.4006141288740124,-4.028807998623311,5.6060379364927644e-5,5.269324917575159e-4
ENSG00000121653,9479,213.9467866841763,-0.7135256743855142,0.1640059312128224,-4.350608963401496,1.3575997069242938e-5,1.4797344326741938e-4
ENSG00000121691,847,2096.8293326437874,0.7473461207923138,0.12629550128062209,5.9174405518352495,3.269899891084127e-9,6.76805456216586e-8
ENSG00000121753,576,508.6618360309163,-0.6474048735738742,0.12111734633607578,-5.345269634437487,9.028255507966505e-8,1.4864053908458462e-6
ENSG00000121858,8743,247.33441111920695,-1.0324268012457793,0.15748850882091361,-6.555569095011196,5.5430076206993284e-11,1.4035019857579704e-9
ENSG00000121879,5290,1070.6046627358985,0.5845761631590448,0.12036997822202439,4.856494715657292,1.194819685085668e-6,1.5967538386007723e-5
ENSG00000122035,387496,943.3405742311438,2.2888708112868925,0.1448731876539461,15.799133354849927,3.1542303832820752e-56,1.5368774418867366e-53
ENSG00000122359,311,7880.946819746488,0.3425724595098039,0.08812223100488481,3.887469207297014,1.0129483295210098e-4,8.942915026740826e-4
ENSG00000122376,54537,445.87605714762174,0.3820637682919249,0.11414399194230743,3.34720874739543,8.162971574434283e-4,0.005631919308989715
ENSG00000122420,5737,1754.7472418567204,-0.6784006287381137,0.13519558175111066,-5.017920112115946,5.223388761490938e-7,7.461747432025249e-6
ENSG00000122490,80148,736.1485622320126,0.4049670975181772,0.10700517790611219,3.7845560882437006,1.5398317901581775e-4,0.001298413821935062
ENSG00000122545,989,8687.44062238725,0.2432180161807671,0.0766101288727056,3.1747501245546137,0.001499655803921207,0.009420137572505757
ENSG00000122641,3624,880.3129788916963,0.9738142542983461,0.17794555503128692,5.472540486482662,4.436293638338212e-8,7.742255732038846e-7
ENSG00000122679,10268,10.354069113913376,-3.7798087512015632,0.9884867328507598,-3.8238335686112164,1.3139262464475414e-4,0.0011258299605967812
ENSG00000122786,800,22796.135230926782,0.7996136491840068,0.1040084153188474,7.687970696724081,1.4948703512468728e-14,5.795596277909382e-13
ENSG00000122861,5328,576.3936917447028,-0.5006312739668427,0.1257519749582756,-3.981100687547466,6.85968822366127e-5,6.312734012055405e-4
ENSG00000122863,9469,1044.6973574309154,0.8064322784575895,0.14379453155919764,5.608226333180102,2.0441060044555425e-8,3.7834849125589853e-7
ENSG00000122877,1959,17.052588610055402,-3.0670409250533526,0.5837148332604498,-5.254348099947734,1.4854968821729746e-7,2.357441707025914e-6
ENSG00000122966,11113,288.89444402256447,-1.549194220591982,0.20293212636216224,-7.634051090694319,2.2748969354509248e-14,8.597870430253516e-13
ENSG00000122970,28981,569.2829376377973,0.5525165333667831,0.1088263479046008,5.077047461439479,3.8334514057471413e-7,5.678673947642519e-6
ENSG00000122971,35,527.2123599980555,0.9684327173246148,0.11484154009509873,8.43277368557291,3.375671346035383e-17,1.6811216305614884e-15
ENSG00000123094,11228,1290.0564560776759,0.8721579387688915,0.10345756108806466,8.430103412417555,3.453598839339279e-17,1.7151922830746147e-15
ENSG00000123104,3709,206.95873879015124,0.8443942888992007,0.17247743313022748,4.895679820684997,9.796646155215408e-7,1.3221739864362573e-5
ENSG00000123130,23597,915.8267010470043,0.4168767125280683,0.1012024063934312,4.119237154375874,3.801287622135255e-5,3.724435502818173e-4
ENSG00000123178,57213,189.98109861430848,0.6859697119335362,0.1646183725347085,4.167030091303477,3.085937754387076e-5,3.0770622696952546e-4
ENSG00000123179,84650,348.3524895237821,0.4977629589777032,0.1407257624005819,3.537113251238246,4.045261642549273e-4,0.0030386657038282625
ENSG00000123213,57486,519.4493067650874,0.8083590899421569,0.11947277225563883,6.766052839323851,1.3234322820563636e-11,3.598617976004845e-10
ENSG00000123243,80760,13780.72946001909,-0.9555723108011536,0.08797280693629739,-10.862132789432305,1.746224487314698e-27,2.1281804890664987e-25
ENSG00000123342,4327,616.3415710181578,0.4098959502421417,0.10685469934739869,3.83601238640442,1.2504810377099492e-4,0.0010781287492986592
ENSG00000123352,65244,627.9236387561668,-0.5882699944278972,0.11279997308592947,-5.215160769406932,1.8365787632212633e-7,2.879116690726342e-6
ENSG00000123358,3164,180.64140027840415,1.2547029209191387,0.22919609293987422,5.4743643524861,4.390848259631712e-8,7.680423586545447e-7
ENSG00000123405,4778,13.528779543307826,-2.7726251938882722,0.6154995378300555,-4.504674696691351,6.64746934001434e-6,7.776805792458049e-5
ENSG00000123411,64375,245.08335899485797,-0.6567974570202524,0.13589091982183832,-4.83326963921766,1.3430867502069252e-6,1.779071853984603e-5
ENSG00000123416,10376,1382.5051393635267,-0.8047932822284398,0.18655693457876235,-4.313928528283491,1.6037881391833446e-5,1.723068687318077e-4
ENSG00000123505,262,528.1349758743756,0.3762361068884263,0.11296487109426223,3.3305584580757004,8.66719626132598e-4,0.005918644477241847
ENSG00000123562,9643,5040.482677662727,1.0280741741720067,0.0848915671319742,12.110439339324968,9.299471851909275e-34,1.5240988958747313e-31
ENSG00000123572,203447,108.02796171029725,1.2049504392430888,0.3298409310206745,3.653125873476152,2.5906715256294446e-4,0.00205747252264527
ENSG00000123610,7130,322.73198778541604,-2.570510616095365,0.4422911164770465,-5.8118070210636175,6.180206067764472e-9,1.225706875573794e-7
ENSG00000123612,130399,20.520576888940745,-1.4630334327677406,0.4310719708111778,-3.3939423851071777,6.889418519871358e-4,0.0048620762191613105
ENSG00000123636,29994,634.12381785264,-0.372788341918544,0.11302419571745413,-3.2983056375863677,9.727019439135566e-4,0.006550568040670003
ENSG00000123643,206358,788.5214958259986,0.7403397566906167,0.12002822624341865,6.16804713242366,6.913853813446026e-10,1.5658662883015697e-8
ENSG00000123685,55509,42.350647552225865,1.8719933382833638,0.36126034323136963,5.181840114358867,2.1970751421481341e-7,3.3911704334457672e-6
ENSG00000123689,50486,42.13510590802507,-2.6792998721814145,0.45818260997442484,-5.8476681869941975,4.9851170147021e-9,1.0012152541938928e-7
ENSG00000123737,5393,432.7756302272898,0.5196928299649843,0.12239574477274287,4.246004065990358,2.1761668250756e-5,2.2677419377146196e-4
ENSG00000123908,27161,402.4117438863401,0.5587020501976022,0.15773094050391384,3.54212083192225,3.969236085134774e-4,0.0029854605999313603
ENSG00000123983,2181,2693.616860949945,-0.438806241033419,0.08056436079786024,-5.446654534185463,5.1326012173298696e-8,8.880089706911986e-7
ENSG00000124006,23363,1534.8465193701772,0.3702412887423496,0.09695649554970458,3.8186331575128563,1.3419314355686554e-4,0.0011471000436430402
ENSG00000124104,90203,851.3398721714277,-0.7927298380963157,0.12277621145029223,-6.456705486610199,1.0700685346086776e-10,2.6175299242775087e-9
ENSG00000124126,57580,195.38767488629102,-0.6078990887237089,0.16939573179241027,-3.5886328556889038,3.3241658329530456e-4,0.002565413597451948
ENSG00000124134,3787,26.08374835619302,-2.953069825250227,0.5004383410499228,-5.900966378904278,3.6137855073440987e-9,7.403332400727207e-8
ENSG00000124151,8202,1569.910289199314,1.3562764494093336,0.143957483705451,9.4213681324438,4.452480899052818e-21,3.3032644299639595e-19
ENSG00000124198,10564,1629.7722181641234,0.3181707118473684,0.09232919610550305,3.4460465948799115,5.688522662679508e-4,0.004100467275601207
ENSG00000124212,5740,10158.336329568723,-0.6615589584164224,0.0830001959082253,-7.97057104718065,1.5794283220422566e-15,6.828281484359185e-14
ENSG00000124225,56937,142.68650531376585,-1.0717112346024509,0.19544392234758654,-5.483471789398854,4.1705881008695423e-8,7.328202951508392e-7
ENSG00000124226,55905,1514.5499206149457,-0.46123101614968576,0.09567644036856403,-4.820737627496752,1.4302837039922088e-6,1.8848797233604928e-5
ENSG00000124249,60598,96.6265531490933,-1.4505659859805307,0.21864315417718647,-6.634399286085147,3.258267293072295e-11,8.442815368017117e-10
ENSG00000124357,55577,1251.9527366283749,-0.3598322210117741,0.08863874885838458,-4.059536327466299,4.917025801042859e-5,4.6876859408355725e-4
ENSG00000124422,23326,3914.9412200317715,-0.342204904856364,0.07537956577203851,-4.539756913581245,5.631911981461517e-6,6.697368680856744e-5
ENSG00000124440,64344,197.04362280384095,2.5298872706757827,0.17427099607618746,14.516972575113828,9.459676053633405e-48,2.890492201608526e-45
ENSG00000124486,8239,5345.445006667403,0.4115582186178003,0.08674221474615437,4.744612756570714,2.08905587985554e-6,2.6786272689925796e-5
ENSG00000124496,55809,484.129660038702,-0.839776898699222,0.13259410198972707,-6.3334408250246685,2.3975328551262495e-10,5.68720030423895e-9
ENSG00000124608,57505,352.8988026454925,-0.7896818314884912,0.15614174627120558,-5.057467655811136,4.24860459023939e-7,6.206956527782473e-6
ENSG00000124615,4337,517.2512778185207,0.4786932722924797,0.11422166342477795,4.190914910005044,2.778318480730082e-5,2.812325972521163e-4
ENSG00000124702,116138,1044.9719114959075,0.6076057720575058,0.10111848884396499,6.008849410270526,1.8684457036810145e-9,4.0052721933366623e-8
